39,5,13,4,0,1,4,1,2174,0,38,0
50,4,13,2,3,0,4,1,0,0,38,0
38,2,9,0,5,1,4,1,0,0,38,0
53,2,7,2,5,0,2,1,0,0,38,0
28,2,13,2,9,5,2,0,0,0,4,0
37,2,14,2,3,5,4,0,0,0,38,0
49,2,5,3,7,1,2,0,0,0,22,0
52,4,9,2,3,0,4,1,0,0,38,1
31,2,14,4,9,1,4,0,14084,0,38,1
42,2,13,2,3,0,4,1,5178,0,38,1
37,2,10,2,3,0,2,1,0,0,38,1
30,5,13,2,9,0,1,1,0,0,18,1
23,2,13,4,0,3,4,0,0,0,38,0
32,2,12,4,11,1,2,1,0,0,38,0
34,2,4,2,13,0,0,1,0,0,25,0
25,4,9,4,4,3,4,1,0,0,38,0
32,2,9,4,6,4,4,1,0,0,38,0
38,2,7,2,11,0,4,1,0,0,38,0
43,4,14,0,3,4,4,0,0,0,38,1
40,2,16,2,9,0,4,1,0,0,38,1
54,2,9,5,7,4,2,0,0,0,38,0
35,0,5,2,4,0,2,1,0,0,38,0
43,2,7,2,13,0,4,1,0,2042,38,0
59,2,9,0,12,4,4,0,0,0,38,0
56,1,13,2,12,0,4,1,0,0,38,1
19,2,9,4,2,3,4,1,0,0,38,0
39,2,9,0,3,1,4,1,0,0,38,0
49,2,9,2,2,0,4,1,0,0,38,0
23,1,12,4,10,1,4,1,0,0,38,0
20,2,10,4,11,3,2,1,0,0,38,0
45,2,13,0,3,3,4,1,0,1408,38,0
30,0,10,2,0,3,4,1,0,0,38,0
22,5,10,2,7,0,2,1,0,0,38,0
48,2,7,4,6,4,4,1,0,0,32,0
21,2,10,4,6,3,4,1,0,0,38,0
19,2,9,1,0,5,4,0,0,0,38,0
48,4,12,2,9,0,4,1,0,0,38,0
31,2,5,2,6,0,4,1,0,0,38,0
53,4,13,2,9,0,4,1,0,0,38,0
24,2,13,2,12,0,4,1,0,0,38,0
49,2,9,5,0,4,4,0,0,0,38,0
25,2,9,4,5,1,4,1,0,0,38,0
57,0,13,2,9,0,2,1,0,0,38,1
53,2,9,2,6,0,4,1,0,0,38,0
44,2,14,0,3,4,4,0,0,0,38,0
41,5,11,2,2,0,4,1,0,0,38,0
29,2,11,4,9,1,4,1,0,0,38,0
25,2,10,2,3,5,3,0,0,0,38,0
47,2,15,2,9,5,4,0,0,1902,15,1
50,0,13,0,3,1,4,1,0,0,38,1
47,3,9,0,3,1,4,1,0,0,38,0
43,2,10,2,12,0,4,1,0,0,38,1
46,2,3,2,6,0,4,1,0,0,25,0
35,2,11,2,7,0,4,1,0,0,32,0
41,2,9,2,0,0,4,1,0,0,38,0
30,2,9,2,6,0,4,1,5013,0,38,0
30,2,13,2,11,0,4,1,2407,0,38,0
48,2,9,2,13,0,4,1,0,0,38,0
42,2,16,2,9,0,4,1,0,0,38,1
29,2,10,0,12,1,4,1,0,0,38,0
36,2,9,2,2,0,4,1,0,0,38,0
28,2,10,0,0,1,4,0,0,0,38,0
53,2,9,2,0,5,4,0,0,0,38,1
49,3,10,2,3,0,4,1,0,0,38,1
19,2,10,4,9,3,4,1,0,0,38,0
31,2,13,5,11,3,2,0,0,0,38,0
29,4,13,2,11,0,4,1,0,0,38,1
23,2,10,4,6,1,4,1,0,0,38,0
79,2,10,2,9,2,4,1,0,0,38,0
27,2,9,4,7,3,4,1,0,0,25,0
40,2,12,2,0,0,4,1,0,0,38,0
18,2,7,4,7,3,4,0,0,0,38,0
31,1,4,2,4,0,4,1,0,0,38,0
18,2,9,4,11,1,4,1,0,0,38,0
52,2,13,2,7,0,4,1,0,0,4,0
46,2,9,2,7,5,4,0,0,0,38,0
59,2,9,2,11,0,4,1,0,0,38,0
44,2,9,0,2,1,4,0,14344,0,38,1
